,Code,Description
156,19187,Empire Aero Service: ERO
157,19188,Evanston Aviation: EVA
158,19189,Federal Armored Service Inc.: FAR
159,19190,Young Flying Service: FBI
160,19191,Southern Airlines Inc.: FCA
161,19192,Florida Airlines Inc.: FDA
162,19193,Freedom Airlines Inc.: FDM
163,19194,Flamenco Airways Inc.: FLM
164,19195,Ford-Aire Inc.: FOR
165,19196,Foster Aviation: FOS
166,19197,Skycraft Inc.: FVA
167,19198,Far West Airlines: FWA
168,19199,General Aviation Inc.: GAS
169,19200,Gromer Aviation Inc.: GAV
170,19201,Central States Airline: GBA
171,19202,Golden Carriage Aire: GCA
172,19203,Midway Commuter: GCS
173,19204,Green Hills Aviation Ltd.: GHA
174,19205,Green Mountain Airlines Ltd.: GMA
175,19206,Copper State Airlines: GOF
176,19207,Isle Royale Seaplane Serv.: GRO
177,19208,Golden South Airlines Inc.: GSL
178,19209,Gull Air Inc.: GUL
179,19210,Gunnel Aviation Inc.: GUN
180,19211,Ross Aviation Inc.: GWE
181,19212,Heussler Air Service Corp: HEU
182,19213,Hensley Flying Service Inc.: HFS
183,19214,Long Island Airlines: HMZ
184,19215,Holiday Airlines Inc.: HOL
185,19216,Iowa Airlines: HOR
186,19217,Pacific Coast Airlines: HPZ
187,19218,Trans-National Airlines Haw: HRA
188,19219,Scenic Airlines Inc.: HSZ
189,19220,Skystream Airlines: HUB
190,19221,Hawking Corporation: HWK
191,19222,Hyannis Aviation: HYA
192,19223,Iowa City Flying Service: ICF
193,19224,Idee Industries Inc.: III
194,19225,Inland Empire Airlines Inc.: INA
195,19226,Indiana Airways Inc. (Pa): IND
196,19227,Indo-Pacific International: IPI
197,19228,Island Airlines: ISL
198,19229,Sunbelt Airlines Inc.: JAM
199,19230,Air Chico: JCM
200,19231,Jer-Don Air: JER
201,19232,Knight Airlines Inc.: KAI
202,19233,Key Airlines: KEE
203,19234,Crown Air: KWZ
204,19235,Chaparral Airlines Inc.: KXZ
205,19236,Lancer Aviation Inc.: LAN
206,19237,Lawrence Aviation: LAW
207,19238,Havasu Airlines: LHA
208,19239,Lakeland Aviation: LLA
209,19240,Aero Commuter: LOS
210,19241,Las Vegas Airlines: LVA
211,19242,Magum Airlines: MAG
212,19243,The Maui Commuter: MAI
213,19244,Marshall's Air Inc.: MAR
214,19245,Maxair Inc.: MAX
215,19246,Mid Continental Airlines In: MCO
216,19247,Metro Airlines: MDU
217,19248,Metroplex Airlines: MET
218,19249,Midway Aviation Inc.: MIY
219,19250,Miller Air Transportersinc: MLL
220,19251,Ocean Airways Inc.: MMH
221,19252,Cumberland Airlines: MNZ
222,19253,Merrimack Aviation Inc.: MRR
223,19254,Midwest Aviation: MST
224,19255,Arkansas Traveler Airline: MTA
225,19256,Metroflight Airlines: MTR
226,19257,National Air Commuter Inc.: NAC
227,19258,New Born Wings Inc.: NEB
228,19259,Nor East Commuter Airlines: NEC
229,19260,Nevada Airlines: NEV
230,19261,Northern Eagle Airways Inc.: NGL
231,19262,Newair Flight Inc.: NHA
232,19263,N. J. Merrimack Airlines: NJA
233,19264,E. J. A. Newport Inc.: NPT
234,19265,Northaire: NTH
235,19266,Lake State Airways: NUM
236,19267,New York Helicopter Corp.: NYH
237,19268,Harbor Airlines Inc.: OAK
238,19269,Ocean Reef Airways Inc.: OCR
239,19270,Offshore Logistics: OFF
240,19271,Omaha Aviation: OHA
241,19272,Corporate Air Inc.: OIZ
242,19273,Omak Aviation Airlines: OMK
243,19274,Omni Pacific Airline: OMN
244,19275,Sun Aire Lines: OOZ
245,19276,Air Kentucky Air Lines: OWS
246,19277,Permian Airways Inc.: PAI
247,19278,Provincetown Boston: PBA
248,19279,Piasa Commuter Airlines: PCA
249,19280,Trans Southern Airways: PDA
250,19281,Pearson Aircraft: PEA
251,19282,Air Pennsylvania: PER
252,19283,Petro Aviation Corp.: PET
253,19284,Phillips Airlines: PHL
254,19285,Phoenix Airlines: PHX
255,19286,Pacific Island Airways: PIA
256,19287,Planes Inc.: PLA
257,19288,Polar Airways Inc.: PLZ
258,19289,Pacific Missionary Aviation: PMA
259,19290,Pioneer Airways: PNR
260,19291,Pocono Airlines Inc.: POC
261,19292,Pompano Airways: POM
262,19293,Ponderosa Aviation Inc.: PON
263,19294,Princeton Aviation Corp: PRA
264,19295,Pro Air Services: PRR
265,19296,Precision Valley Aviation: PVA
266,19297,Bar Harbor Airways: QOZ
267,19298,Royal-Air Ltd.: RAL
268,19299,Realwest Airlines: REA
269,19300,Aerosun International Airlines Inc.: RED
270,19301,Royal Hawaiian Airways Inc.: RHA
271,19302,Richardson Aviation: RIC
272,19303,Indiana Airways Inc. (Reid: RID
273,19304,Rio Airways Inc.: RIO
274,19305,Riverside Air Service: RIV
275,19306,Michigan Airways Inc.: RJS
276,19307,Roederer Aviation Inc.: ROE
277,19308,Royal American Airways Inc.: ROY
278,19309,Air Rovers Inc.: RWG
279,19310,Sajen Air Inc.: SAJ
280,19311,Samoan Airlines Inc.: SAM
281,19312,Air Cortez International: SAS
282,19313,Air Americana: SAX
283,19314,Saber Aviation Inc.: SBA
284,19315,Suburban Airlines: SBN
285,19316,Seaco Airlines Inc.: SCO
286,19317,Skyline Airlines: SCT
287,19318,South Coast Airways: SCY
288,19319,Semo Aviation Inc.: SEM
289,19320,Stahmannfarms Inc.: SFI
290,19321,Sfo Helicopter Airlines Inc.: SFO
291,19322,Sierra Flite Service Inc.: SFS
292,19323,Shasta Air Inc.: SHS
293,19324,Shavano Air Inc.: SHV
294,19325,Silver State Airlines: SIA
295,19326,San Juan Airlines Inc.: SJA
296,19327,Bas Airlines: SKL
297,19328,Scheduled Skyways: SKM
298,19329,Stopher Mechanical Inc.: SMC
299,19330,Gelco Courier Services Inc.: SNC
300,19331,Shawnee Airlines: SNE
301,19332,Mall Airways Inc.: SOA
302,19333,Soonair Lines Inc.: SOL
303,19334,Springfield Air Service: SPF
304,19335,Sterling Air Service: SRL
305,19336,Southern Seaplane: SSP
306,19337,Sierra Express Inc.: SSS
307,19338,Seaplane Shuttle Transport: SST
308,19339,Trans East International: STF
309,19340,Star Aviation Corporation: STR
310,19341,Sun International Airways: SUI
311,19342,Sunbelt: SUT
312,19343,Sun Valley Airlines: SVL
313,19344,Sunwest Airlines: SWA
314,19345,Air Colorado: TAC
315,19346,Tejas Airlines Inc.: TAL
316,19347,Yosemite Airlines Inc.: TAS
317,19348,Trans Catalina Airlines: TCA
318,19349,Oceanair Line: TCE
319,19350,Trans California Airlines: TCI
320,19351,Trans-Central Airlines Inc.: TCL
321,19352,Trans-Colorado Airlines: TCO
322,19353,Tennessee Airways Inc.: TEN
323,19354,Terre Haute Air Commuter: TER
324,19355,Thorson Aviation: THO
325,19356,Trans Air Inc.: TIA
326,19357,Skyfreight: TIS
327,19358,Trans Mo Airlines: TMA
328,19359,Transtate Aviation: TNS
329,19360,Trans Pennsylvania Airlines: TRP
330,19361,Trans Sierra Airlines Inc.: TSI
331,19362,Tulsair Beechcraft Inc.: TUL
332,19363,Temsco Airlines: TYE
333,19364,Universal Airways Inc.: UAI
334,19365,Air U.S.: USA
335,19366,Vagabond Aviation Inc.: VAG
336,19367,Britt Airlines Inc.: VER
337,19368,Viking Express: VIG
338,19369,Vale International Airlines: VIN
339,19370,Valley Airlines: VLY
340,19371,Air East Airlines: WAC
341,19372,Walker's International: WCA
342,19373,Mountainwest Airlines: WCI
343,19374,Western Star Airlines Inc.: WES
344,19375,Western Charter Inc.: WET
345,19376,Wheeler Airlines: WFS
346,19377,Wisc Air: WIA
347,19378,Will's Air: WIL
348,19379,Wings Airways: WNG
349,19380,Mcphillips Flying Service: ZFZ
350,19381,Air New Mexico: ZIA
351,19382,Winnipesaukee Aviation Inc.: ZMZ
352,19383,Skyway Aviation Inc.: ZYZ
353,19384,P.S. Air Freight Inc.: PSA
354,19385,Reeve Aleutian Airways Inc.: RV (1)
355,19386,Northwest Airlines Inc.: NW
356,19387,Wien Air Alaska Inc.: WC
357,19388,Southern Airways: FTI
358,19389,Air Florida Inc.: QH
359,19390,Air California Inc.: OC
360,19391,Pacific Southwest Airlines: PS (1)
361,19392,Rich International Airways: RIQ
362,19393,Southwest Airlines Co.: WN
363,19394,Mid-South Aviation Inc.: VL
364,19395,Mid-South Aviation Inc. (1): RCA
365,19396,Sky West Aviation Inc.: QG
366,19397,Republic Airlines Inc.: RC
367,19398,Dauphin Island Airways: DAU
368,19399,New York Air Inc.: NY
369,19400,Global International Airways Corp.: GIQ
370,19401,Colgan Airways Inc.: CJ
371,19402,Overseas National Airways: UNQ
372,19403,Flight International: PTQ
373,19404,Academy Airlines: ACD
374,19405,Check-Air Inc.: ACL
375,19406,Transwest Air Express: ACW
376,19407,Airgo Inc.: AIG
377,19408,American Air Transport: AMT
378,19409,Bo-S-Aire Airlines Inc.: BOI
379,19410,Combs Airways Inc.: CMB
380,19411,Summit Airlines Inc.: DUZ
381,19412,Eagle Aviation Inc.: EEZ
382,19413,Falwell Aviation Inc.: FAA
383,19414,Falcon Airways Inc.: FAC
384,19415,Pinehurst Airlines Inc.: PHR
385,19416,Great Western Airlines Inc.: ROS
386,19417,Air Freight Express: RRT
387,19418,S. S. Airways Inc.: SSA
388,19419,Aero Union Corp: XAA
389,19420,Air Express International Airlines: XAC
390,19421,Central American International: XAJ
391,19422,Michigan Peninsula Airways: XAT
392,19423,WTC Airlines: XBF
393,19424,Profit Airlines Inc.: XBH
394,19425,CF Air Freight: XBI
395,19426,International Air Service: XBJ
